cell_class	channel_combo	leiden_resolution
interphase	DAPI_COXIV_CENPA_WGA	8
interphase	DAPI_COXIV_CENPA_WGA	10
interphase	DAPI_COXIV_CENPA_WGA	12
interphase	DAPI_CENPA	8
interphase	DAPI_CENPA	10
interphase	DAPI_CENPA	12
interphase	DAPI_WGA	8
interphase	DAPI_WGA	10
interphase	DAPI_WGA	12
mitotic	DAPI_COXIV_CENPA_WGA	8
mitotic	DAPI_COXIV_CENPA_WGA	10
mitotic	DAPI_COXIV_CENPA_WGA	12
mitotic	DAPI_CENPA	8
mitotic	DAPI_CENPA	10
mitotic	DAPI_CENPA	12
mitotic	DAPI_WGA	8
mitotic	DAPI_WGA	10
mitotic	DAPI_WGA	12
all	DAPI_COXIV_CENPA_WGA	8
all	DAPI_COXIV_CENPA_WGA	10
all	DAPI_COXIV_CENPA_WGA	12
all	DAPI_CENPA	8
all	DAPI_CENPA	10
all	DAPI_CENPA	12
all	DAPI_WGA	8
all	DAPI_WGA	10
all	DAPI_WGA	12
